YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2018,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,462771,459330,3441,46947,43553,3394
2019,Year,State,AL,Alabama,Total,1,1046588,605614,440974,968161,527411,440750
2019,Year,State,AK,Alaska,Total,2,100297,98629,1668,87774,86110,1664
2019,Year,State,AZ,Arizona,Total,4,1325833,789199,536634,1212548,676356,536192
2019,Year,State,AR,Arkansas,Total,5,637556,468473,169083,590567,421619,168948
2019,Year,State,CA,California,Total,6,6277166,3528546,2748620,5582182,2838741,2743441
2019,Year,State,CO,Colorado,Total,8,911545,530678,380867,821066,444000,377066
2019,Year,State,CT,Connecticut,Total,9,680357,398772,281585,610612,329232,281380
2019,Year,State,DE,Delaware,Total,10,208278,174473,33805,192256,158490,33766
2019,Year,State,DC,District of Columbia,Total,11,94058,75614,18444,77057,58667,18389
2019,Year,State,FL,Florida,Total,12,4556611,2455795,2100816,4260574,2161651,2098923
2019,Year,State,GA,Georgia,Total,13,1727412,1040090,687322,1581660,895562,686098
2019,Year,State,HI,Hawaii,Total,15,274091,148146,125945,236087,110268,125819
2019,Year,State,ID,Idaho,Total,16,334445,220061,114384,309949,195662,114287
2019,Year,State,IL,Illinois,Total,17,2233242,1623815,609427,2016851,1407791,609060
2019,Year,State,IN,Indiana,Total,18,1260564,857098,403467,1167470,764236,403233
2019,Year,State,IA,Iowa,Total,19,625217,483559,141658,581437,439857,141580
2019,Year,State,KS,Kansas,Total,20,534927,434951,99975,490388,390476,99912
2019,Year,State,KY,Kentucky,Total,21,928872,612687,316185,855911,542115,313796
2019,Year,State,LA,Louisiana,Total,22,869795,534480,335316,803972,468964,335009
2019,Year,State,ME,Maine,Total,23,339400,217064,122336,312344,190287,122057
2019,Year,State,MD,Maryland,Total,24,1036953,909418,127535,895397,768018,127379
2019,Year,State,MA,Massachusetts,Total,25,1331279,997248,334031,1192180,858362,333818
2019,Year,State,MI,Michigan,Total,26,2064901,1198786,866115,1932985,1067472,865514
2019,Year,State,MN,Minnesota,Total,27,1021819,555372,466447,941971,475704,466267
2019,Year,State,MS,Mississippi,Total,28,601628,479366,122262,564132,441939,122192
2019,Year,State,MO,Missouri,Total,29,1227462,771005,456457,1132046,675899,456147
2019,Year,State,MT,Montana,Total,30,230309,185893,44417,212057,167693,44364
2019,Year,State,NE,Nebraska,Total,31,346150,288127,58022,316816,258853,57963
2019,Year,State,NV,Nevada,Total,32,531564,331585,199979,473278,273489,199789
2019,Year,State,NH,New Hampshire,Total,33,298735,243068,55666,266530,210911,55619
2019,Year,State,NJ,New Jersey,Total,34,1615169,1133404,481764,1430161,948753,481408
2019,Year,State,NM,New Mexico,Total,35,421972,267855,154117,381532,227611,153921
2019,Year,State,NY,New York,Total,36,3629623,2118566,1511057,3251946,1741954,1509992
2019,Year,State,NC,North Carolina,Total,37,1985259,1246728,738532,1856828,1118772,738055
2019,Year,State,ND,North Dakota,Total,38,131045,106842,24203,119940,95758,24183
2019,Year,State,OH,Ohio,Total,39,2340027,1323428,1016600,2151440,1145787,1005653
2019,Year,State,OK,Oklahoma,Total,40,738850,577110,161740,672652,511044,161608
2019,Year,State,OR,Oregon,Total,41,863650,470225,393425,792743,399533,393210
2019,Year,State,PA,Pennsylvania,Total,42,2732824,1567873,1164951,2495323,1331165,1164159
2019,Year,State,RI,Rhode Island,Total,44,220546,120094,100452,194398,94029,100369
2019,Year,State,SC,South Carolina,Total,45,1075124,752453,322671,1003986,681622,322365
2019,Year,State,SD,South Dakota,Total,46,175579,138162,37418,161456,124053,37403
2019,Year,State,TN,Tennessee,Total,47,1356706,812679,544027,1258907,715397,543510
2019,Year,State,TX,Texas,Total,48,4158858,2493533,1665325,3783730,2125454,1658276
2019,Year,State,UT,Utah,Total,49,400958,250920,150038,359927,210019,149908
2019,Year,State,VT,Vermont,Total,50,147222,129424,17797,134434,116648,17785
2019,Year,State,VA,Virginia,Total,51,1509513,1176619,332894,1355667,1022998,332669
2019,Year,State,WA,Washington,Total,53,1362048,898555,463493,1235559,772329,463230
2019,Year,State,WV,West Virginia,Total,54,438643,289839,148804,409189,260464,148725
2019,Year,State,WI,Wisconsin,Total,55,1171957,661504,510453,1094195,583977,510218
2019,Year,State,WY,Wyoming,Total,56,109989,105045,4944,100955,96031,4924
2019,Year,State,AS,American Samoa,Total,60,4569,4354,216,2613,2397,216
2019,Year,State,GU,Guam,Total,66,17352,17259,93,11538,11445,93
2019,Year,State,MP,Northern Mariana Islands,Total,69,2492,*,*,1862,*,*
2019,Year,State,PR,Puerto Rico,Total,72,749872,160876,588996,641333,52512,588821
2019,Year,State,VI,Virgin Islands,Total,78,19917,19477,440,17989,17549,440
2019,Year,State,UK,Unknown,Unknown,99,*,*,*,*,*,*
2019,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,476955,473445,3510,46774,43319,3455
2020,Year,State,AL,Alabama,Total,1,1062565,576690,485875,983760,497970,485791
2020,Year,State,AK,Alaska,Total,2,104465,102635,1830,91685,89855,1829
2020,Year,State,AZ,Arizona,Total,4,1370074,788009,582065,1255235,673373,581862
2020,Year,State,AR,Arkansas,Total,5,646920,453946,192975,599586,406648,192938
2020,Year,State,CA,California,Total,6,6411106,3503899,2907207,5714875,2811874,2903001
2020,Year,State,CO,Colorado,Total,8,938949,527895,411054,848256,440767,407489
2020,Year,State,CT,Connecticut,Total,9,692023,382148,309875,623019,313182,309838
2020,Year,State,DE,Delaware,Total,10,215724,174831,40893,199235,158358,40877
2020,Year,State,DC,District of Columbia,Total,11,94126,73305,20822,77439,56654,20784
2020,Year,State,FL,Florida,Total,12,4680137,2411875,2268263,4382492,2114901,2267591
2020,Year,State,GA,Georgia,Total,13,1773148,1012084,761064,1624747,864476,760271
2020,Year,State,HI,Hawaii,Total,15,281164,148116,133047,242718,109728,132990
2020,Year,State,ID,Idaho,Total,16,349171,219572,129599,324415,194842,129573
2020,Year,State,IL,Illinois,Total,17,2265857,1582598,683259,2050149,1366982,683167
2020,Year,State,IN,Indiana,Total,18,1283965,823560,460405,1191055,730756,460299
2020,Year,State,IA,Iowa,Total,19,637388,477397,159991,593788,433813,159975
2020,Year,State,KS,Kansas,Total,20,546423,429874,116549,501621,385104,116517
2020,Year,State,KY,Kentucky,Total,21,943242,578907,364335,869992,507839,362153
2020,Year,State,LA,Louisiana,Total,22,884245,512975,371271,820552,449338,371214
2020,Year,State,ME,Maine,Total,23,347594,202663,144931,320359,175818,144541
2020,Year,State,MD,Maryland,Total,24,1058229,920102,138127,914185,776135,138050
2020,Year,State,MA,Massachusetts,Total,25,1352786,989454,363333,1214183,850909,363274
2020,Year,State,MI,Michigan,Total,26,2100420,1096687,1003733,1968704,965132,1003572
2020,Year,State,MN,Minnesota,Total,27,1046400,539965,506435,966187,459801,506387
2020,Year,State,MS,Mississippi,Total,28,609795,464521,145275,572134,426882,145253
2020,Year,State,MO,Missouri,Total,29,1248427,748330,500097,1153861,653823,500038
2020,Year,State,MT,Montana,Total,30,237744,188972,48772,219350,170600,48750
2020,Year,State,NE,Nebraska,Total,31,353778,282565,71213,324679,253483,71195
2020,Year,State,NV,Nevada,Total,32,549393,329339,220054,490802,270824,219978
2020,Year,State,NH,New Hampshire,Total,33,307567,240172,67394,274893,207508,67385
2020,Year,State,NJ,New Jersey,Total,34,1637118,1109324,527793,1451710,924048,527661
2020,Year,State,NM,New Mexico,Total,35,432470,262010,170460,392291,221908,170383
2020,Year,State,NY,New York,Total,36,3672562,2069578,1602984,3306630,1703856,1602774
2020,Year,State,NC,North Carolina,Total,37,2035577,1211374,824203,1904512,1080504,824008
2020,Year,State,ND,North Dakota,Total,38,134332,107585,26747,122949,96215,26734
2020,Year,State,OH,Ohio,Total,39,2381221,1279364,1101857,2196754,1105358,1091397
2020,Year,State,OK,Oklahoma,Total,40,753478,563270,190209,687631,497477,190154
2020,Year,State,OR,Oregon,Total,41,886188,468657,417531,815481,398036,417445
2020,Year,State,PA,Pennsylvania,Total,42,2776113,1539899,1236214,2537203,1301272,1235931
2020,Year,State,RI,Rhode Island,Total,44,224732,117503,107229,198931,91735,107196
2020,Year,State,SC,South Carolina,Total,45,1106010,737889,368121,1034382,666374,368008
2020,Year,State,SD,South Dakota,Total,46,180220,138706,41514,165825,124319,41506
2020,Year,State,TN,Tennessee,Total,47,1385253,796822,588431,1286302,698035,588267
2020,Year,State,TX,Texas,Total,48,4286051,2456124,1829927,3905957,2082082,1823874
2020,Year,State,UT,Utah,Total,49,414961,248849,166111,374113,208036,166078
2020,Year,State,VT,Vermont,Total,50,151303,129452,21851,138455,116612,21842
2020,Year,State,VA,Virginia,Total,51,1545578,1157274,388305,1389600,1001391,388209
2020,Year,State,WA,Washington,Total,53,1398937,888912,510026,1270634,760707,509926
2020,Year,State,WV,West Virginia,Total,54,442688,275122,167566,413474,245950,167524
2020,Year,State,WI,Wisconsin,Total,55,1200527,645403,555124,1123233,568156,555076
2020,Year,State,WY,Wyoming,Total,56,113802,108216,5587,104689,99112,5577
2020,Year,State,AS,American Samoa,Total,60,4716,4446,269,2740,2471,269
2020,Year,State,GU,Guam,Total,66,17803,17702,100,11991,11891,100
2020,Year,State,MP,Northern Mariana Islands,Total,69,2659,2641,18,1969,1951,18
2020,Year,State,PR,Puerto Rico,Total,72,750388,149159,601230,648290,47094,601196
2020,Year,State,VI,Virgin Islands,Total,78,20149,19635,514,18205,17692,514
2020,Year,State,UK,Unknown,Unknown,99,*,*,*,*,*,*
2020,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,492312,488060,4252,48752,44552,4200
2021,Year,State,AL,Alabama,Total,1,1070474,528983,541491,991595,450195,541400
2021,Year,State,AK,Alaska,Total,2,108116,105831,2286,95088,92803,2285
2021,Year,State,AZ,Arizona,Total,4,1400160,767513,632647,1285448,653035,632413
2021,Year,State,AR,Arkansas,Total,5,653277,430724,222553,605574,383059,222516
2021,Year,State,CA,California,Total,6,6499203,3436742,3062462,5808944,2751300,3057645
2021,Year,State,CO,Colorado,Total,8,961593,518796,442796,871575,432255,439321
2021,Year,State,CT,Connecticut,Total,9,702439,363399,339040,634920,295958,338963
2021,Year,State,DE,Delaware,Total,10,222814,171134,51680,205689,154026,51663
2021,Year,State,DC,District of Columbia,Total,11,94055,70224,23831,77942,54150,23792
2021,Year,State,FL,Florida,Total,12,4803848,2359900,2443948,4501115,2057988,2443126
2021,Year,State,GA,Georgia,Total,13,1808944,953980,854964,1660212,806085,854127
2021,Year,State,HI,Hawaii,Total,15,288450,145637,142813,250795,108044,142751
2021,Year,State,ID,Idaho,Total,16,361623,215741,145883,336517,190669,145848
2021,Year,State,IL,Illinois,Total,17,2287329,1507029,780299,2075365,1295211,780153
2021,Year,State,IN,Indiana,Total,18,1301309,775334,525975,1209027,683160,525867
2021,Year,State,IA,Iowa,Total,19,646874,465570,181303,603783,422497,181286
2021,Year,State,KS,Kansas,Total,20,555807,414903,140904,511337,370465,140872
2021,Year,State,KY,Kentucky,Total,21,952197,536961,415236,878533,465452,413081
2021,Year,State,LA,Louisiana,Total,22,893631,473575,420056,830827,410854,419973
2021,Year,State,ME,Maine,Total,23,356229,187420,168810,328775,160394,168381
2021,Year,State,MD,Maryland,Total,24,1075070,898929,176141,928810,752756,176054
2021,Year,State,MA,Massachusetts,Total,25,1374243,973092,401151,1236531,835463,401068
2021,Year,State,MI,Michigan,Total,26,2130074,1024125,1105949,1998834,893079,1105755
2021,Year,State,MN,Minnesota,Total,27,1068551,509904,558648,989229,430643,558586
2021,Year,State,MS,Mississippi,Total,28,614598,431483,183116,576562,393472,183090
2021,Year,State,MO,Missouri,Total,29,1263819,707230,556589,1170118,613608,556510
2021,Year,State,MT,Montana,Total,30,244107,188073,56034,225356,169349,56007
2021,Year,State,NE,Nebraska,Total,31,360404,272226,88178,331307,243152,88155
2021,Year,State,NV,Nevada,Total,32,561939,316990,244949,504846,259991,244855
2021,Year,State,NH,New Hampshire,Total,33,316557,234830,81726,283593,201878,81715
2021,Year,State,NJ,New Jersey,Total,34,1656791,1075739,581052,1471143,890274,580869
2021,Year,State,NM,New Mexico,Total,35,439390,252475,186915,399484,212662,186822
2021,Year,State,NY,New York,Total,36,3705610,1996240,1709370,3360200,1651049,1709151
2021,Year,State,NC,North Carolina,Total,37,2077983,1148968,929015,1944710,1015918,928793
2021,Year,State,ND,North Dakota,Total,38,137155,105943,31212,125755,94554,31201
2021,Year,State,OH,Ohio,Total,39,2407792,1227265,1180527,2225887,1055768,1170119
2021,Year,State,OK,Oklahoma,Total,40,763654,528377,235276,697909,462692,235217
2021,Year,State,OR,Oregon,Total,41,901861,459062,442799,831832,389141,442692
2021,Year,State,PA,Pennsylvania,Total,42,2805431,1493883,1311548,2566927,1255740,1311186
2021,Year,State,RI,Rhode Island,Total,44,228146,111983,116163,202850,86714,116136
2021,Year,State,SC,South Carolina,Total,45,1133973,712041,421932,1060906,639090,421817
2021,Year,State,SD,South Dakota,Total,46,184567,136475,48092,169915,121832,48083
2021,Year,State,TN,Tennessee,Total,47,1406240,766844,639395,1306081,666869,639212
2021,Year,State,TX,Texas,Total,48,4386864,2347931,2038933,4003614,1970810,2032804
2021,Year,State,UT,Utah,Total,49,427555,242369,185187,386774,201648,185127
2021,Year,State,VT,Vermont,Total,50,155077,124384,30694,142268,111585,30683
2021,Year,State,VA,Virginia,Total,51,1575524,1112731,462792,1418293,955601,462692
2021,Year,State,WA,Washington,Total,53,1431948,865220,566729,1304123,737540,566584
2021,Year,State,WV,West Virginia,Total,54,444287,254195,190092,415045,225000,190045
2021,Year,State,WI,Wisconsin,Total,55,1225485,622437,603048,1148945,545957,602988
2021,Year,State,WY,Wyoming,Total,56,117393,110505,6888,108209,101334,6876
2021,Year,State,AS,American Samoa,Total,60,4770,4465,305,2815,2510,305
2021,Year,State,GU,Guam,Total,66,18212,18082,129,12409,12280,129
2021,Year,State,MP,Northern Mariana Islands,Total,69,2809,2788,21,2083,2062,21
2021,Year,State,PR,Puerto Rico,Total,72,754752,138182,616570,657234,40682,616552
2021,Year,State,VI,Virgin Islands,Total,78,20370,14753,5617,18391,12775,5617
2021,Year,State,UK,Unknown,Unknown,99,*,*,*,*,*,*
2021,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,500965,496487,4478,49033,44561,4472
