Statefips,Countyfips,Year,Total population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,White %,Balck %,AI/AN %,Asian %,Hawiian %,Multiracial %,Not hispanic %,Hispanic %
1,0,2016,4863525,3374106,1301635,33610,69476,4916,79782,4658145,205380,69.37573057,26.76320159,0.691062552,1.428511214,0.10107895,1.640415131,95.77713695,4.222863047
2,0,2016,741456,490758,27559,113262,46704,9848,53325,689486,51970,66.18841846,3.716875985,15.27561986,6.298957726,1.328197493,7.191930472,92.99081807,7.009181934
4,0,2016,6941072,5773622,340938,370059,246542,18356,191555,4783080,2157992,83.18055194,4.911892572,5.331438717,3.551929731,0.264454828,2.759732214,68.90981681,31.09018319
5,0,2016,2989918,2372809,469025,29074,48232,9876,60902,2770530,219388,79.36033697,15.68688506,0.97240125,1.613154608,0.330310062,2.036912049,92.66240746,7.337592536
6,0,2016,39167117,28484043,2537131,641036,5813827,195842,1495238,23961388,15205729,72.72437999,6.477706797,1.636668841,14.84364295,0.500016379,3.817585042,61.17730851,38.82269149
8,0,2016,5539215,4842319,250138,87820,183977,10371,164590,4356409,1182806,87.41886711,4.515766223,1.585423205,3.321355102,0.187228696,2.97135966,78.6466855,21.3533145
9,0,2016,3578141,2886999,418863,19089,166894,3716,82580,3018646,559495,80.68432742,11.7061625,0.533489317,4.664265606,0.103852811,2.307902344,84.36352844,15.63647156
10,0,2016,948921,665087,215073,6054,37419,919,24369,863424,85497,70.08876398,22.66500583,0.637987778,3.943320888,0.09684684,2.568074687,90.99008242,9.00991758
11,0,2016,685815,305704,327757,4101,28719,964,18570,611170,74645,44.57528634,47.79087655,0.597974672,4.18757245,0.140562688,2.707727303,89.11586944,10.88413056
12,0,2016,20613477,16002588,3472527,101630,582342,22893,431497,15433683,5179794,77.63167757,16.8459062,0.493026965,2.825054696,0.111058411,2.093276161,74.87180838,25.12819162
13,0,2016,10301890,6305959,3298868,52741,419915,11839,212568,9333409,968481,61.21167087,32.02196878,0.511954603,4.076096716,0.11492066,2.063388369,90.59899688,9.401003117
15,0,2016,1427559,371655,30736,5557,537694,145112,336805,1278967,148592,26.03430051,2.153045864,0.389265873,37.66527338,10.16504397,23.59307041,89.59118327,10.40881673
16,0,2016,1682380,1569732,14480,29475,25473,3460,39760,1473807,208573,93.30424755,0.860685458,1.751982311,1.514105018,0.205661028,2.363318632,87.6025036,12.3974964
17,0,2016,12820527,9897625,1879042,74336,714272,8222,247030,10650061,2170466,77.20138962,14.65651139,0.579820159,5.571315438,0.064131529,1.926831869,83.07038392,16.92961608
18,0,2016,6634304,5678320,642941,26502,150003,4145,132393,6185288,449016,85.5902895,9.691159766,0.399469183,2.2610209,0.062478295,1.995582355,93.23190496,6.768095041
19,0,2016,3131371,2860458,116268,16133,78353,3674,56485,2947646,183725,91.34842214,3.71300622,0.51520564,2.502194726,0.117328799,1.80384247,94.13276166,5.867238344
20,0,2016,2910844,2520984,179604,34217,89101,3269,83669,2570103,340741,86.60663368,6.170169202,1.175500989,3.061002239,0.112304198,2.874389696,88.2940824,11.7059176
21,0,2016,4438182,3903401,367506,13184,67336,3707,83048,4279872,158310,87.95044908,8.280552713,0.29705857,1.517197808,0.083525191,1.871216638,96.43299892,3.567001083
22,0,2016,4678135,2955059,1524630,35959,82901,2903,76683,4442511,235624,63.16745883,32.59055158,0.768661016,1.772095076,0.062054644,1.639178861,94.963292,5.036708004
23,0,2016,1331317,1261844,20637,9355,16347,469,22665,1310037,21280,94.78163353,1.550119168,0.702687639,1.227881864,0.035228274,1.702449529,98.40158279,1.598417206
24,0,2016,6003323,3565668,1841676,34753,388403,6450,166373,5416175,587148,59.39490512,30.67760972,0.578896055,6.469800142,0.107440496,2.771348468,90.2196167,9.780383298
25,0,2016,6823608,5576223,589701,32566,457082,6968,161068,6038530,785078,81.7195683,8.642070295,0.477254848,6.698538369,0.102116065,2.360452124,88.49467906,11.50532094
26,0,2016,9950571,7917934,1408599,72100,312885,3946,235107,9453643,496928,79.5726597,14.1559615,0.724581534,3.144392417,0.039656016,2.362748831,95.00603533,4.993964668
27,0,2016,5522744,4685535,353124,74909,271552,3724,133900,5231215,291529,84.840706,6.393995449,1.356372847,4.916976054,0.067430248,2.424519406,94.72130158,5.278698415
28,0,2016,2987938,1773354,1126424,18089,31149,1731,37191,2895027,92911,59.35042829,37.69904195,0.605400781,1.042491511,0.057932929,1.244704542,96.89046426,3.10953574
29,0,2016,6087135,5067791,720019,33976,121290,8682,135377,5838352,248783,83.2541253,11.82853674,0.558160777,1.992563004,0.142628675,2.223985504,95.91297055,4.087029448
30,0,2016,1040859,927814,5935,69595,8980,892,27643,1002049,38810,89.13925902,0.570202112,6.686304293,0.862748941,0.085698447,2.655787191,96.27134895,3.728651047
31,0,2016,1905616,1690996,96223,28048,47625,2246,40478,1702968,202648,88.7375001,5.04944333,1.471860018,2.499191862,0.117862151,2.124142534,89.3657484,10.6342516
32,0,2016,2917563,2197650,280959,48319,245065,22294,123276,2088519,829044,75.3248516,9.629920588,1.656142472,8.39964724,0.764130886,4.225307217,71.58436682,28.41563318
33,0,2016,1342307,1255396,21380,3883,38684,593,22371,1294534,47773,93.52525167,1.592780191,0.289278086,2.881904065,0.044177673,1.666608309,96.44097811,3.559021893
34,0,2016,8870827,6447703,1323504,52466,846904,9183,191067,7109495,1761332,72.68435062,14.91973634,0.591444293,9.547069287,0.103519097,2.153880354,80.14466971,19.85533029
35,0,2016,2091630,1721226,52473,226754,36155,3215,51807,1076457,1015173,82.2911318,2.5087133,10.84101873,1.728556198,0.153707874,2.476872105,51.46498186,48.53501814
36,0,2016,19633428,13773337,3453356,189421,1702647,26263,488404,15925768,3707660,70.15248178,17.58916477,0.964788217,8.672183992,0.133766757,2.487614491,81.11557493,18.88442507
37,0,2016,10154788,7210675,2253930,159645,297332,12231,220975,9223567,931221,71.00763699,22.19573663,1.572115538,2.927998103,0.120445646,2.176067093,90.8297347,9.170265298
38,0,2016,754434,662681,22220,41944,11456,483,15650,726857,27577,87.83816742,2.945254323,5.559664596,1.518489358,0.064021505,2.074402797,96.34467694,3.655323063
39,0,2016,11634370,9583165,1493613,32467,262775,6361,255989,11205243,429127,82.36943642,12.83793622,0.279061092,2.25860962,0.054674211,2.200282439,96.31155791,3.68844209
40,0,2016,3926331,2927248,304272,364222,89185,7372,234032,3517840,408491,74.5542849,7.749524938,9.276395699,2.271459029,0.187757986,5.960577445,89.59611403,10.40388597
41,0,2016,4089976,3571132,87084,73544,187803,17921,152492,3568097,521879,87.31425319,2.129205648,1.798152361,4.591787336,0.43816883,3.728432636,87.24004737,12.75995263
42,0,2016,12782275,10523295,1509100,47266,443576,9136,249902,11882159,900116,82.32724613,11.80619256,0.36977768,3.470242973,0.071473975,1.955066684,92.95809236,7.041907642
44,0,2016,1056770,892309,85140,10875,37949,1918,28579,898231,158539,84.4373894,8.056625377,1.029079175,3.591036839,0.181496447,2.704372758,84.99777624,15.00222376
45,0,2016,4957968,3393188,1361728,26840,81317,4767,90128,4683762,274206,68.43908634,27.46544552,0.541350811,1.640127568,0.096148261,1.817841503,94.46938746,5.530612541
46,0,2016,862996,733518,17554,78943,12590,632,19759,830054,32942,84.99668596,2.034076635,9.147551089,1.458871188,0.073233248,2.289581875,96.18283283,3.817167171
47,0,2016,6646010,5231842,1135529,30117,119174,6206,123142,6295382,350628,78.72154872,17.08587559,0.453159114,1.793166125,0.093379336,1.852871121,94.72423304,5.275766964
48,0,2016,27914410,22172579,3519315,279845,1362465,38871,541335,16995567,10918843,79.43058442,12.60752063,1.00251089,4.880866191,0.139250659,1.93926721,60.88456464,39.11543536
49,0,2016,3041868,2773420,41400,46783,74694,31048,74523,2621058,420810,91.17489648,1.361005803,1.537969432,2.455530615,1.020688603,2.449909069,86.16606638,13.83393362
50,0,2016,623657,590279,8051,2384,11026,231,11686,612031,11626,94.64801966,1.290933959,0.382261403,1.76795899,0.037039591,1.873786392,98.13583428,1.864165719
51,0,2016,8410106,5893536,1662906,44764,553078,9458,246364,7639518,770588,70.07683375,19.77271154,0.532264397,6.576349929,0.112459938,2.929380438,90.83735687,9.162643134
53,0,2016,7294771,5827356,302803,140596,634596,54269,335151,6384139,910632,79.88401555,4.150959639,1.927353168,8.69932723,0.743943847,4.594400564,87.5166472,12.4833528
54,0,2016,1831023,1714557,65227,4493,15414,515,30817,1802306,28717,93.63929344,3.562325542,0.245381953,0.841824488,0.028126353,1.683048219,98.43164177,1.568358235
55,0,2016,5772628,5045904,384254,66093,165740,3101,107536,5387707,384921,87.41086382,6.656482974,1.1449378,2.871135989,0.053719034,1.862860382,93.3319625,6.668037504
56,0,2016,584215,542675,7326,15846,5831,606,11931,526512,57703,92.889604,1.253990397,2.712357608,0.998091456,0.103728935,2.042227605,90.12298554,9.877014455
72,0,2016,3406672,,,,,,,,,0,0,0,0,0,0,0,0
1,0,2017,4874486,3376527,1305617,33840,71245,4961,82296,4664076,210410,69.26939579,26.78471125,0.694227043,1.461590001,0.101774833,1.688301084,95.68344232,4.316557684
2,0,2017,739700,486188,27739,113738,48035,10256,53744,686587,53113,65.72772746,3.750033797,15.37623361,6.493848858,1.386508044,7.265648236,92.81965662,7.180343382
4,0,2017,7044008,5845558,352008,375655,253937,19040,197810,4836234,2207774,82.98624874,4.9972686,5.332972365,3.605007263,0.270300658,2.808202376,68.65741777,31.34258223
5,0,2017,3001345,2377792,470694,29804,49422,10657,62976,2775260,226085,79.22421448,15.68276889,0.993021462,1.646661747,0.355074142,2.09825928,92.46721053,7.532789466
6,0,2017,39358497,28518935,2543564,643442,5930737,197581,1524238,24004162,15354335,72.45941073,6.462553689,1.634823606,15.06850478,0.502003417,3.872703777,60.98851285,39.01148715
8,0,2017,5611885,4897864,254236,89590,189913,10546,169736,4405132,1206753,87.27662808,4.530313789,1.596433284,3.384121378,0.187922596,3.024580867,78.49647667,21.50352333
9,0,2017,3573297,2872125,423337,19542,169936,3796,84561,3000100,573197,80.37744973,11.847238,0.546889889,4.755719998,0.106232423,2.366469958,83.95887607,16.04112393
10,0,2017,956823,668104,218390,6205,38095,960,25069,868450,88373,69.82524459,22.82449314,0.648500297,3.981405129,0.100332036,2.620024811,90.76391349,9.236086507
11,0,2017,694906,313010,327813,4088,29928,944,19123,618643,76263,45.04350229,47.17371846,0.588281005,4.306769549,0.135845712,2.751882988,89.02542214,10.97457786
12,0,2017,20963613,16245729,3538457,103907,603626,23527,448367,15595053,5368560,77.49489079,16.87904179,0.495654065,2.879398699,0.112227792,2.138786859,74.39105559,25.60894441
13,0,2017,10410330,6335279,3353318,53582,435984,12022,220145,9415759,994571,60.85569814,32.21144767,0.514700302,4.187994041,0.11548145,2.114678401,90.4463067,9.553693303
15,0,2017,1424393,368793,31066,5514,535586,144728,338706,1274463,149930,25.89123929,2.180999205,0.387112265,37.60099916,10.16067897,23.77897111,89.47411283,10.52588717
16,0,2017,1717715,1600865,15235,30053,26394,3655,41513,1502147,215568,93.19735812,0.886934096,1.749591754,1.536576207,0.212782679,2.416757145,87.45030462,12.54969538
17,0,2017,12778828,9848285,1867708,74227,728382,8231,251995,10590789,2188039,77.06720053,14.61564394,0.580859215,5.699912386,0.064411228,1.971972704,82.87762383,17.12237617
18,0,2017,6658078,5683681,650617,26956,155948,4292,136584,6196751,461327,85.36519098,9.771844067,0.404861583,2.342237505,0.064463048,2.051402822,93.07116859,6.928831414
19,0,2017,3141550,2859774,121427,16384,81529,3995,58441,2952622,188928,91.03066957,3.865193933,0.521525998,2.595183906,0.127166526,1.860260063,93.98615333,6.013846668
20,0,2017,2908718,2517528,178605,34307,89563,3408,85307,2562937,345781,86.55111977,6.140333989,1.179454316,3.07912283,0.117165019,2.932804074,88.11225426,11.88774574
21,0,2017,4452268,3907652,372275,13178,69609,3936,85618,4287777,164491,87.76767257,8.361468806,0.295983979,1.563450358,0.088404382,1.923019908,96.30545601,3.694543994
22,0,2017,4670560,2942913,1526496,36298,83300,2869,78684,4431651,238909,63.00985321,32.68336131,0.777165907,1.783512041,0.061427323,1.68468021,94.88478898,5.115211024
23,0,2017,1334612,1263507,21259,9494,16652,471,23229,1312512,22100,94.67223433,1.592897411,0.711367798,1.247703452,0.035291156,1.740505855,98.34408802,1.65591198
24,0,2017,6023868,3558103,1856211,35562,396696,6522,170774,5417191,606677,59.06674914,30.81427083,0.590351581,6.585403266,0.108269305,2.834955879,89.92877998,10.07122002
25,0,2017,6859789,5574621,603071,33029,474517,7069,167482,6048363,811426,81.26519635,8.791392855,0.481487113,6.917370199,0.103049817,2.441503667,88.17126882,11.82873118
26,0,2017,9973114,7922472,1408914,72770,324044,4048,240866,9465659,507455,79.43829781,14.12712218,0.729661769,3.249175734,0.040589128,2.415153381,94.91176978,5.088230216
27,0,2017,5566230,4700264,368596,76089,279329,3949,138003,5266113,300117,84.44250417,6.622004481,1.366975493,5.018279877,0.070945685,2.479290292,94.6082537,5.391746299
28,0,2017,2988510,1770340,1128043,18363,31606,1770,38388,2892436,96074,59.2382157,37.74600052,0.614453356,1.05758388,0.059226839,1.28451971,96.78522073,3.214779271
29,0,2017,6106670,5075415,722085,34733,125978,9031,139428,5850954,255716,83.11264568,11.82452957,0.568771524,2.062957389,0.147887474,2.283208361,95.8125132,4.187486797
30,0,2017,1052482,936852,6196,70563,9263,905,28703,1011467,41015,89.01358883,0.588703655,6.704437701,0.880110064,0.085987219,2.727172531,96.10302124,3.896978761
31,0,2017,1915947,1695875,97603,28674,49684,2250,41861,1706835,209112,88.51366974,5.094243212,1.496596722,2.593182379,0.117435399,2.184872546,89.08571062,10.91428938
32,0,2017,2969905,2220937,294042,49586,253252,22982,129106,2117441,852464,74.78141557,9.90072073,1.669615695,8.527276125,0.773829466,4.347142417,71.29659029,28.70340971
33,0,2017,1348787,1259593,22294,3964,39321,604,23011,1298511,50276,93.38709522,1.652892562,0.293893699,2.915286105,0.044780977,1.706051437,96.27250263,3.727497374
34,0,2017,8885525,6431527,1327681,53186,867632,9675,195824,7089460,1796065,72.38207084,14.94206589,0.598569021,9.764555274,0.108884956,2.203854021,79.78661925,20.21338075
35,0,2017,2091784,1718166,52864,228502,36280,3295,52677,1070904,1020880,82.1387868,2.527220784,10.92378563,1.7344047,0.157521044,2.518281046,51.19572575,48.80427425
36,0,2017,19589572,13706039,3443385,189165,1725964,26757,498262,15864453,3725119,69.96599517,17.57764284,0.965641312,8.810626388,0.136587977,2.54350631,80.98417362,19.01582638
37,0,2017,10268233,7270828,2280761,161897,312976,12558,229213,9307128,961105,70.80895028,22.2118158,1.576678285,3.048002514,0.122299523,2.232253592,90.64001567,9.359984332
38,0,2017,754942,660053,23603,42067,12583,503,16133,726334,28608,87.43095496,3.126465344,5.572216144,1.666750558,0.066627635,2.136985358,96.21056982,3.789430181
39,0,2017,11659650,9576538,1505501,32989,274888,6520,263214,11215786,443864,82.13400917,12.91205997,0.282933021,2.357600786,0.055919346,2.257477712,96.19316189,3.806838113
40,0,2017,3931316,2923281,305118,367825,90351,7609,237132,3512430,418886,74.35884065,7.761217872,9.356281713,2.298238045,0.19354842,6.031873296,89.34489113,10.65510887
41,0,2017,4143625,3608387,89388,74883,194833,18377,157757,3604678,538947,87.08285619,2.157241546,1.807185737,4.701994027,0.443500558,3.807221937,86.9933452,13.0066548
42,0,2017,12787641,10495030,1519909,48422,457270,9435,257575,11853595,934046,82.07166592,11.88576533,0.378662491,3.575874549,0.073782178,2.01424954,92.69571299,7.304287006
44,0,2017,1055673,888967,86446,11107,37939,2009,29205,892975,162698,84.20855701,8.188709951,1.052125043,3.593821193,0.190305142,2.766481666,84.58822003,15.41177997
45,0,2017,5021268,3439656,1370339,27320,85452,4767,93734,4736589,284679,68.50174099,27.29069629,0.544085677,1.701801218,0.094936179,1.866739636,94.33053563,5.669464366
46,0,2017,872868,738898,19376,79702,13770,698,20424,837621,35247,84.65174574,2.219808723,9.131048452,1.577558119,0.079966272,2.339872696,95.96193239,4.038067612
47,0,2017,6708799,5273129,1146784,30955,123575,6297,128059,6343951,364848,78.60019357,17.09373019,0.461408965,1.841983938,0.093861807,1.908821534,94.56164956,5.438350441
48,0,2017,28295273,22392582,3595304,283854,1420351,40230,562952,17166616,11128657,79.13895017,12.70637679,1.003185232,5.019746585,0.142179225,1.989562002,60.66955424,39.33044576
49,0,2017,3101042,2820762,43714,47832,78905,31883,77946,2665190,435852,90.9617477,1.409655206,1.54244928,2.544467311,1.028138284,2.513542222,85.94498236,14.05501764
50,0,2017,624344,589668,8317,2424,11799,240,11896,612211,12133,94.44601053,1.332118191,0.388247505,1.889823559,0.038440347,1.905359866,98.05668029,1.943319708
51,0,2017,8463587,5908557,1675859,45254,569226,9677,255014,7668525,795062,69.81149955,19.80081259,0.534690551,6.725588099,0.114336864,3.013072353,90.60608699,9.393913006
53,0,2017,7423362,5895462,313179,143721,667135,56430,347435,6481980,941382,79.41768164,4.218829689,1.936063471,8.986965744,0.760167698,4.68029176,87.31865696,12.68134304
54,0,2017,1817004,1700408,64904,4516,15199,528,31449,1787632,29372,93.58306311,3.572033964,0.248541005,0.836486876,0.029058824,1.730816223,98.38349283,1.616507173
55,0,2017,5790186,5051222,387433,67079,170521,3243,110688,5396564,393622,87.2376466,6.691201284,1.158494736,2.945000385,0.056008563,1.911648434,93.20191096,6.798089042
